Item1.Item1,Item1.Item2,Item2.Centroid.X,Item2.Centroid.Y,Item2.Orientation,Item2.MajorAxisLength,Item2.MinorAxisLength,Item2.Area
120,1680,NaN,NaN,NaN,0,0,0
120,960,NaN,NaN,NaN,0,0,0
240,300,NaN,NaN,NaN,0,0,0
300,180,NaN,NaN,NaN,0,0,0
180,420,NaN,NaN,NaN,0,0,0
780,780,1082.055,1082.37,-0.534232886569562,83.4769649106217,75.3342264731354,5080
540,1200,NaN,NaN,NaN,0,0,0
300,1440,NaN,NaN,NaN,0,0,0
660,1200,NaN,NaN,NaN,0,0,0
1020,480,491.4413,683.5192,1.07861901311139,91.2809637168804,71.7027812944009,5329.5
300,1140,NaN,NaN,NaN,0,0,0
900,300,158.4266,929.4163,0.467931405181469,36.6028699476062,34.0415190374787,974
1020,1200,NaN,NaN,NaN,0,0,0
540,720,NaN,NaN,NaN,0,0,0
1020,720,946.4623,650.552,0.87026894271878,98.0417099972655,86.1615353019067,6880.5
480,540,NaN,NaN,NaN,0,0,0
360,1500,NaN,NaN,NaN,0,0,0
360,600,NaN,NaN,NaN,0,0,0
180,1560,NaN,NaN,NaN,0,0,0
420,1020,NaN,NaN,NaN,0,0,0
240,900,NaN,NaN,NaN,0,0,0
840,660,853.1581,989.2061,-0.394560769820788,90.9009985397869,83.4156409422673,6151
120,1080,NaN,NaN,NaN,0,0,0
180,1200,NaN,NaN,NaN,0,0,0
300,1740,NaN,NaN,NaN,0,0,0
960,960,1400.318,727.3157,-1.0003617570425,89.9597329261551,73.8792805304616,5407
420,780,NaN,NaN,NaN,0,0,0
420,240,NaN,NaN,NaN,0,0,0
780,360,287.3341,1145.7,0.590665955338133,35.3050770387248,30.3039381927855,819
240,1800,NaN,NaN,NaN,0,0,0
840,540,623.9015,1009.667,1.12574166046219,92.8910726808695,86.7935999232441,6542.5
840,240,NaN,NaN,NaN,0,0,0
660,1680,NaN,NaN,NaN,0,0,0
240,180,NaN,NaN,NaN,0,0,0
540,540,NaN,NaN,NaN,0,0,0
1020,840,1168.798,632.5043,1.50562469141501,100.811349310368,93.2320665588403,7674.5
0,1260,NaN,NaN,NaN,0,0,0
60,420,NaN,NaN,NaN,0,0,0
360,900,NaN,NaN,NaN,0,0,0
180,960,NaN,NaN,NaN,0,0,0
60,1140,NaN,NaN,NaN,0,0,0
60,1500,NaN,NaN,NaN,0,0,0
240,660,NaN,NaN,NaN,0,0,0
60,1620,NaN,NaN,NaN,0,0,0
900,1260,NaN,NaN,NaN,0,0,0
360,480,NaN,NaN,NaN,0,0,0
720,1380,NaN,NaN,NaN,0,0,0
360,960,NaN,NaN,NaN,0,0,0
60,1320,NaN,NaN,NaN,0,0,0
0,1560,NaN,NaN,NaN,0,0,0
660,1500,NaN,NaN,NaN,0,0,0
240,1140,NaN,NaN,NaN,0,0,0
780,420,402.4942,1138.284,1.47505787995102,51.4638810707131,47.8017760674741,2008.5
900,0,NaN,NaN,NaN,0,0,0
0,540,NaN,NaN,NaN,0,0,0
660,1440,NaN,NaN,NaN,0,0,0
360,1560,NaN,NaN,NaN,0,0,0
600,1320,NaN,NaN,NaN,0,0,0
960,720,955.8693,759.1768,-0.0387333986395867,127.85162949562,99.7759785617271,10175.5
960,1320,NaN,NaN,NaN,0,0,0
540,780,NaN,NaN,NaN,0,0,0
180,60,NaN,NaN,NaN,0,0,0
600,720,986.7962,1418.327,-0.26324883244961,42.1695958925179,35.8655454625196,1199
420,660,NaN,NaN,NaN,0,0,0
60,1020,NaN,NaN,NaN,0,0,0
840,480,511.1031,1017.351,1.00240643459427,80.2446633128436,75.845182339679,4973
780,600,744.1721,1111.852,-0.0935729347064185,84.9215375289209,80.921545432073,5588.5
0,120,NaN,NaN,NaN,0,0,0
780,1620,NaN,NaN,NaN,0,0,0
660,1740,NaN,NaN,NaN,0,0,0
720,180,NaN,NaN,NaN,0,0,0
1020,180,NaN,NaN,NaN,0,0,0
360,780,NaN,NaN,NaN,0,0,0
300,1800,NaN,NaN,NaN,0,0,0
900,1140,NaN,NaN,NaN,0,0,0
360,1620,NaN,NaN,NaN,0,0,0
1020,1860,NaN,NaN,NaN,0,0,0
0,1680,NaN,NaN,NaN,0,0,0
300,1320,NaN,NaN,NaN,0,0,0
720,900,1307.593,1172.278,-0.198158944920938,68.1753681167701,62.832124366953,3473
1020,1140,NaN,NaN,NaN,0,0,0
960,180,NaN,NaN,NaN,0,0,0
60,600,NaN,NaN,NaN,0,0,0
1020,600,717.2067,666.2529,1.30038918912261,91.3263730444344,76.7140480097834,5733
360,1140,NaN,NaN,NaN,0,0,0
540,240,NaN,NaN,NaN,0,0,0
0,1380,NaN,NaN,NaN,0,0,0
60,900,NaN,NaN,NaN,0,0,0
420,480,NaN,NaN,NaN,0,0,0
420,420,NaN,NaN,NaN,0,0,0
780,1320,NaN,NaN,NaN,0,0,0
840,720,964.6756,978.7385,-0.389157176289397,94.9058423816288,83.7622090235582,6438.5
120,420,NaN,NaN,NaN,0,0,0
720,1800,NaN,NaN,NaN,0,0,0
180,780,NaN,NaN,NaN,0,0,0
840,60,NaN,NaN,NaN,0,0,0
660,1380,NaN,NaN,NaN,0,0,0
180,1380,NaN,NaN,NaN,0,0,0
660,300,NaN,NaN,NaN,0,0,0
720,240,NaN,NaN,NaN,0,0,0
0,1800,NaN,NaN,NaN,0,0,0
480,1140,NaN,NaN,NaN,0,0,0
0,780,NaN,NaN,NaN,0,0,0
180,120,NaN,NaN,NaN,0,0,0
960,1620,NaN,NaN,NaN,0,0,0
360,1020,NaN,NaN,NaN,0,0,0
960,1440,NaN,NaN,NaN,0,0,0
660,960,1423.101,1270.936,0.191608500193369,29.1322210161068,23.9534277485903,461.5
360,1320,NaN,NaN,NaN,0,0,0
300,1260,NaN,NaN,NaN,0,0,0
120,60,NaN,NaN,NaN,0,0,0
720,420,409.7644,1249.832,0.74557970674869,39.5648041035784,31.7984778514528,984
360,300,NaN,NaN,NaN,0,0,0
1020,960,1394.128,614.8907,-1.14448480187199,90.5261737943655,72.066121711088,5321.5
660,120,NaN,NaN,NaN,0,0,0
1020,1740,NaN,NaN,NaN,0,0,0
540,1020,NaN,NaN,NaN,0,0,0
0,960,NaN,NaN,NaN,0,0,0
60,660,NaN,NaN,NaN,0,0,0
0,1140,NaN,NaN,NaN,0,0,0
660,240,NaN,NaN,NaN,0,0,0
720,1440,NaN,NaN,NaN,0,0,0
600,1080,NaN,NaN,NaN,0,0,0
1020,420,375.4,689.1223,1.45089161146217,68.7681829431755,52.3410456642637,2924
540,960,NaN,NaN,NaN,0,0,0
180,1320,NaN,NaN,NaN,0,0,0
960,600,728.1351,779.1614,0.991899329175983,96.2151352428825,93.4692405233482,7387.5
960,840,1174.57,743.2118,-0.626263737348332,113.355617921421,98.090869260628,9032.5
0,0,NaN,NaN,NaN,0,0,0
840,1260,NaN,NaN,NaN,0,0,0
480,1800,NaN,NaN,NaN,0,0,0
660,900,1315.096,1280.513,-0.108591574968169,50.586712433834,46.5744069936697,1878
900,420,388.7199,914.7551,1.42979542634817,71.1414373671558,61.7480944688596,3580.5
660,480,530.0943,1350.771,-1.42917054097825,39.0680759018599,36.9712860350423,1082
480,1200,NaN,NaN,NaN,0,0,0
240,360,NaN,NaN,NaN,0,0,0
420,720,NaN,NaN,NaN,0,0,0
900,360,273.7449,922.8365,1.29409144386664,56.3603796720578,45.6685339279713,2103.5
900,60,NaN,NaN,NaN,0,0,0
660,1800,NaN,NaN,NaN,0,0,0
240,1620,NaN,NaN,NaN,0,0,0
960,1740,NaN,NaN,NaN,0,0,0
540,1500,NaN,NaN,NaN,0,0,0
720,720,975.4829,1200.592,-0.246539899452386,86.8823592084593,67.3847654580323,4672.5
720,300,NaN,NaN,NaN,0,0,0
600,1200,NaN,NaN,NaN,0,0,0
720,0,NaN,NaN,NaN,0,0,0
120,1500,NaN,NaN,NaN,0,0,0
900,600,732.1916,890.0607,1.21204249068331,92.7774012829695,90.0491234313881,6818
300,1020,NaN,NaN,NaN,0,0,0
300,360,NaN,NaN,NaN,0,0,0
300,480,NaN,NaN,NaN,0,0,0
540,180,NaN,NaN,NaN,0,0,0
120,480,NaN,NaN,NaN,0,0,0
480,300,NaN,NaN,NaN,0,0,0
480,600,NaN,NaN,NaN,0,0,0
240,1500,NaN,NaN,NaN,0,0,0
120,240,NaN,NaN,NaN,0,0,0
840,120,NaN,NaN,NaN,0,0,0
180,660,NaN,NaN,NaN,0,0,0
900,960,1406.83,835.4913,-1.00502943794923,85.9108338557464,76.0834053801035,5301
180,0,NaN,NaN,NaN,0,0,0
0,1620,NaN,NaN,NaN,0,0,0
300,540,NaN,NaN,NaN,0,0,0
480,960,NaN,NaN,NaN,0,0,0
120,1320,NaN,NaN,NaN,0,0,0
1020,1680,NaN,NaN,NaN,0,0,0
420,0,NaN,NaN,NaN,0,0,0
960,1680,NaN,NaN,NaN,0,0,0
780,1080,NaN,NaN,NaN,0,0,0
600,960,NaN,NaN,NaN,0,0,0
0,480,NaN,NaN,NaN,0,0,0
660,1620,NaN,NaN,NaN,0,0,0
360,180,NaN,NaN,NaN,0,0,0
900,240,NaN,NaN,NaN,0,0,0
300,660,NaN,NaN,NaN,0,0,0
1020,1500,NaN,NaN,NaN,0,0,0
300,1560,NaN,NaN,NaN,0,0,0
420,180,NaN,NaN,NaN,0,0,0
720,540,637.5083,1230.49,0.108860721732128,68.7803371524806,60.1777046253568,3381.5
540,660,NaN,NaN,NaN,0,0,0
600,180,NaN,NaN,NaN,0,0,0
300,1620,NaN,NaN,NaN,0,0,0
480,1620,NaN,NaN,NaN,0,0,0
360,1260,NaN,NaN,NaN,0,0,0
600,300,NaN,NaN,NaN,0,0,0
360,420,NaN,NaN,NaN,0,0,0
180,540,NaN,NaN,NaN,0,0,0
360,1380,NaN,NaN,NaN,0,0,0
540,1380,NaN,NaN,NaN,0,0,0
780,1560,NaN,NaN,NaN,0,0,0
720,1740,NaN,NaN,NaN,0,0,0
180,900,NaN,NaN,NaN,0,0,0
780,660,856.7684,1102.82,-0.206489639591151,83.7716864973495,74.7239763580792,5087.5
600,360,NaN,NaN,NaN,0,0,0
240,240,NaN,NaN,NaN,0,0,0
900,180,NaN,NaN,NaN,0,0,0
420,1500,NaN,NaN,NaN,0,0,0
840,1560,NaN,NaN,NaN,0,0,0
840,1620,NaN,NaN,NaN,0,0,0
120,720,NaN,NaN,NaN,0,0,0
960,1860,NaN,NaN,NaN,0,0,0
540,1800,NaN,NaN,NaN,0,0,0
780,720,968.9531,1092.84,-0.119730174175991,84.7374072085964,74.9924439373814,5174
1020,1440,NaN,NaN,NaN,0,0,0
0,240,NaN,NaN,NaN,0,0,0
540,120,NaN,NaN,NaN,0,0,0
720,480,524.1126,1239.46,0.300528519877722,50.2425753333349,44.8855845690963,1819
840,1440,NaN,NaN,NaN,0,0,0
840,1320,NaN,NaN,NaN,0,0,0
60,120,NaN,NaN,NaN,0,0,0
600,1140,NaN,NaN,NaN,0,0,0
900,480,507.2885,905.6714,0.46860454080529,88.7831799560822,81.50415366322,5880.5
720,1080,NaN,NaN,NaN,0,0,0
420,1200,NaN,NaN,NaN,0,0,0
480,840,NaN,NaN,NaN,0,0,0
480,1440,NaN,NaN,NaN,0,0,0
480,720,NaN,NaN,NaN,0,0,0
840,1020,1519.185,936.7847,-1.19599303242199,56.2719697307129,46.8400883162182,2151
720,780,1086.534,1189.845,-0.389316894438661,84.5082916630665,69.3498853319783,4712
960,360,265.9513,810.7144,1.43015007062445,57.7870154076319,47.8426576324208,2241.5
780,240,NaN,NaN,NaN,0,0,0
180,600,NaN,NaN,NaN,0,0,0
180,1800,NaN,NaN,NaN,0,0,0
120,660,NaN,NaN,NaN,0,0,0
60,1740,NaN,NaN,NaN,0,0,0
420,1260,NaN,NaN,NaN,0,0,0
960,60,NaN,NaN,NaN,0,0,0
420,1560,NaN,NaN,NaN,0,0,0
600,840,1208.962,1397.294,0.396814981950147,33.968991972712,28.8344200509461,715.5
120,1140,NaN,NaN,NaN,0,0,0
720,1320,NaN,NaN,NaN,0,0,0
780,960,1413.953,1054.977,-0.999000669933049,69.0395623167988,57.6109684372521,3225
0,720,NaN,NaN,NaN,0,0,0
660,540,644.3455,1339.898,0.187803757127525,48.8229686578469,43.1019598660666,1701.5
420,1680,NaN,NaN,NaN,0,0,0
0,420,NaN,NaN,NaN,0,0,0
300,1680,NaN,NaN,NaN,0,0,0
240,1080,NaN,NaN,NaN,0,0,0
180,1740,NaN,NaN,NaN,0,0,0
840,1380,NaN,NaN,NaN,0,0,0
240,1320,NaN,NaN,NaN,0,0,0
180,300,NaN,NaN,NaN,0,0,0
1020,240,NaN,NaN,NaN,0,0,0
420,1080,NaN,NaN,NaN,0,0,0
540,0,NaN,NaN,NaN,0,0,0
300,1500,NaN,NaN,NaN,0,0,0
540,1320,NaN,NaN,NaN,0,0,0
900,1800,NaN,NaN,NaN,0,0,0
360,1080,NaN,NaN,NaN,0,0,0
780,1020,1523.994,1048.203,-0.766402201041777,42.0299499597988,35.8301084710484,1177.5
120,1020,NaN,NaN,NaN,0,0,0
0,900,NaN,NaN,NaN,0,0,0
600,1020,NaN,NaN,NaN,0,0,0
540,900,NaN,NaN,NaN,0,0,0
780,1500,NaN,NaN,NaN,0,0,0
60,300,NaN,NaN,NaN,0,0,0
240,1680,NaN,NaN,NaN,0,0,0
480,0,NaN,NaN,NaN,0,0,0
